team,season,Winning,Passing,Rushing,Pass_Def,Rush_Def,Takeaway,Turnovers
Chargers,2012,7,10.1,8.2,7.3,8.4,8.5,8.6
Chargers,2013,9,13.1,11.2,4.3,7.4,5.5,6.6
Chargers,2014,9,12.1,7.2,9.3,5.4,5.5,7.6
Chargers,2015,4,13.1,7.2,7.3,5.4,6.5,7.6
Chargers,2016,5,12.1,8.2,5.3,8.4,8.5,10.6
Chargers,2017,9,13.1,9.2,11.3,4.4,8.5,4.6
Chiefs,1989,9,9.1,12.2,15.3,6.4,9.5,12.6
Chiefs,1990,11,10.1,11.2,10.3,7.4,13.5,6.6
Chiefs,1991,10,9.1,12.2,10.3,6.4,9.5,6.6
Chiefs,1992,10,8.1,8.2,15.3,6.4,11.5,6.6
Chiefs,1993,10,9.1,8.2,12.3,8.4,10.5,8.6
Chiefs,1994,9,12.1,9.2,10.3,6.4,11.5,7.6
Chiefs,1995,13,9.1,12.2,11.3,9.4,9.5,6.6
Chiefs,1996,9,8.1,11.2,8.3,7.4,8.5,7.6
Chiefs,1997,13,9.1,12.2,10.3,7.4,10.5,6.6
Chiefs,1998,7,10.1,8.2,12.3,6.4,9.5,9.6
Chiefs,1999,9,10.1,11.2,9.3,8.4,13.5,7.6
Chiefs,2000,7,12.1,8.2,9.3,6.4,8.5,8.6
Chiefs,2001,6,10.1,10.2,12.3,5.4,7.5,9.6
Chiefs,2002,8,11.1,13.2,4.3,4.4,9.5,4.6
Chiefs,2003,13,12.1,11.2,10.3,3.4,11.5,5.6
Chiefs,2004,7,13.1,12.2,4.3,6.4,6.5,8.6
Chiefs,2005,10,11.1,13.2,7.3,7.4,9.5,7.6
Chiefs,2006,9,9.1,12.2,10.3,5.4,9.5,8.6
Chiefs,2007,4,9.1,7.2,12.3,4.4,6.5,10.6
Chiefs,2008,2,9.1,10.2,7.3,1.4,8.5,7.6
Chiefs,2009,4,9.1,10.2,7.3,2.4,8.5,8.6
Chiefs,2010,10,9.1,14.2,9.3,6.4,7.5,4.6
Chiefs,2011,7,9.1,10.2,11.3,4.4,7.5,8.6
Chiefs,2012,2,8.1,13.2,8.3,4.4,4.5,11.6
Chiefs,2013,11,10.1,11.2,6.3,5.4,10.5,5.6
Chiefs,2014,9,9.1,10.2,10.3,5.4,4.5,5.6
Chiefs,2015,11,10.1,11.2,7.3,7.4,8.5,4.6
Chiefs,2016,12,11.1,10.2,6.3,5.4,9.5,5.6
Chiefs,2017,10,12.1,10.2,6.3,5.4,7.5,3.6
Colts,1989,8,9.1,10.2,8.3,4.4,11.5,8.6
Colts,1990,7,8.1,7.2,9.3,3.4,7.5,9.6
Colts,1991,1,8.1,6.2,13.3,3.4,8.5,9.6
Colts,1992,9,10.1,6.2,13.3,4.4,10.5,11.6
Colts,1993,4,9.1,6.2,12.3,2.4,6.5,9.6
Colts,1994,8,7.1,11.2,8.3,7.4,8.5,9.6
Colts,1995,9,9.1,10.2,8.3,8.4,7.5,6.6
Colts,1996,9,10.1,8.2,8.3,6.4,7.5,8.6
Colts,1997,3,9.1,9.2,13.3,5.4,7.5,8.6
Colts,1998,3,11.1,8.2,10.3,1.4,5.5,10.6
Colts,1999,13,12.1,9.2,9.3,7.4,6.5,8.6
Colts,2000,10,13.1,10.2,9.3,5.4,6.5,9.6
Colts,2001,5,11.1,10.2,9.3,5.4,6.5,11.6
Colts,2002,10,12.1,8.2,13.3,5.4,8.5,9.6
Colts,2003,12,12.1,9.2,13.3,5.4,9.5,6.6
Colts,2004,12,14.1,10.2,6.3,5.4,10.5,5.6
Colts,2005,14,12.1,9.2,11.3,6.4,9.5,6.6
Colts,2006,12,13.1,10.2,15.3,0.4,7.5,6.6
Colts,2007,13,12.1,9.2,14.3,7.4,11.5,6.6
Colts,2008,12,12.1,7.2,12.3,5.4,7.5,5.6
Colts,2009,14,13.1,7.2,9.3,5.4,7.5,7.6
Colts,2010,10,14.1,8.2,9.3,5.4,6.5,7.6
Colts,2011,2,9.1,9.2,8.3,3.4,5.5,8.6
Colts,2012,11,12.1,9.2,7.3,4.4,4.5,8.6
Colts,2013,11,11.1,9.2,7.3,5.4,8.5,4.6
Colts,2014,11,14.1,9.2,7.3,6.4,7.5,9.6
Colts,2015,8,11.1,8.2,5.3,5.4,7.5,9.6
Colts,2016,8,12.1,9.2,4.3,5.4,5.5,6.6
Colts,2017,4,8.1,9.2,6.3,5.4,6.5,4.6
Cowboys,1989,1,8.1,8.2,8.3,5.4,4.5,12.6
Cowboys,1990,7,8.1,8.2,14.3,5.4,9.5,10.6
Cowboys,1991,11,10.1,9.2,9.3,7.4,7.5,7.6
Cowboys,1992,13,10.1,12.2,14.3,10.4,9.5,7.6
Cowboys,1993,11,10.1,11.2,12.3,8.4,8.5,6.6
Cowboys,1994,12,10.1,11.2,14.3,8.4,9.5,7.6
Cowboys,1995,12,11.1,12.2,10.3,6.4,7.5,6.6
Cowboys,1996,10,9.1,9.2,13.3,7.4,9.5,8.6
Cowboys,1997,6,9.1,9.2,15.3,5.4,5.5,7.6
